

 Enter MINRES-QLP.      Solution of Hermitian   Ax = b
 n        =    230      checkA   =   T          precon   =   F
 itnlim   =    920      rtol     =   2.22E-16   shift    =   0.00000000000000E+00
 maxxnorm =   1.00E+07  Acondlim =   1.00E+15   trancond =   1.00E+07


    iter         x(1)                           xnorm     rnorm     Arnorm   Compatible   LS      norm(A)   cond(A)
     650   5.4791275545E-02   4.9670164249E-02  4.20E-01  1.48E-11  2.22E-18  3.48E-11  1.74E-07  8.65E-01  8.66E+09  
     660   5.4819860801E-02   4.9689810339E-02  4.20E-01  1.48E-11  7.96E-15  3.48E-11  6.23E-04  8.65E-01  8.66E+09  
     670   5.6303306115E-02   5.0646165470E-02  4.24E-01  1.47E-11  1.14E-13  3.43E-11  8.98E-03  8.65E-01  8.66E+09  
     680   6.0461190491E-02   5.3372518563E-02  4.36E-01  1.44E-11  8.14E-17  3.28E-11  6.54E-06  8.65E-01  8.66E+09  
     690   6.1574860051E-02   5.4121543505E-02  4.40E-01  1.43E-11  1.74E-19  3.24E-11  1.40E-08  8.65E-01  8.66E+09  
     700   6.1972466518E-02   5.4435715977E-02  4.41E-01  1.43E-11  3.21E-19  3.22E-11  2.60E-08  8.65E-01  8.66E+09  
     710   6.3191466249E-02   5.5619508301E-02  4.45E-01  1.42E-11  6.85E-18  3.17E-11  5.59E-07  8.65E-01  8.66E+09  
     720   6.4812878613E-02   5.7211939974E-02  4.51E-01  1.40E-11  2.13E-16  3.11E-11  1.76E-05  8.65E-01  8.66E+09  
     730   6.5048599221E-02   5.7464801671E-02  4.51E-01  1.40E-11  9.13E-15  3.10E-11  7.53E-04  8.65E-01  8.66E+09  
     740   6.5088860324E-02   5.7490588085E-02  4.52E-01  1.40E-11  7.04E-15  3.10E-11  5.80E-04  8.65E-01  8.66E+09  
     750   6.6021643710E-02   5.8094777236E-02  4.55E-01  1.40E-11  5.00E-16  3.07E-11  4.14E-05  8.65E-01  8.66E+09  
     760   6.6833462292E-02   5.8627355083E-02  4.58E-01  1.39E-11  3.47E-18  3.04E-11  2.88E-07  8.65E-01  8.66E+09  
     770   6.7021289051E-02   5.8761902622E-02  4.58E-01  1.39E-11  8.39E-20  3.04E-11  6.97E-09  8.65E-01  8.66E+09  
     780   6.7677740515E-02   5.9307104693E-02  4.60E-01  1.39E-11  9.60E-19  3.02E-11  7.99E-08  8.65E-01  8.66E+09  
     790   7.1783898921E-02   6.2768500983E-02  4.73E-01  1.36E-11  1.92E-17  2.89E-11  1.63E-06  8.65E-01  8.66E+09  
     800   7.3232146790E-02   6.3992164983E-02  4.78E-01  1.35E-11  6.23E-17  2.85E-11  5.32E-06  8.65E-01  8.66E+09  
     810   7.3355337583E-02   6.4095683453E-02  4.79E-01  1.35E-11  1.58E-15  2.85E-11  1.35E-04  8.65E-01  8.66E+09  
     820   7.3448658022E-02   6.4167312082E-02  4.78E-01  1.35E-11  2.37E-14  2.85E-11  2.02E-03  8.65E-01  8.66E+09  
     830   7.3495129813E-02   6.4200616500E-02  4.78E-01  1.35E-11  3.12E-14  2.85E-11  2.67E-03  8.65E-01  8.66E+09  
     840   7.3512988462E-02   6.4211293177E-02  4.78E-01  1.35E-11  3.40E-16  2.85E-11  2.90E-05  8.65E-01  8.66E+09  
     850   7.3581591541E-02   6.4279423161E-02  4.78E-01  1.35E-11  1.88E-15  2.84E-11  1.61E-04  8.65E-01  8.66E+09  
     860   7.3887231877E-02   6.4575274675E-02  4.80E-01  1.35E-11  1.52E-16  2.83E-11  1.30E-05  8.65E-01  8.66E+09  
     870   7.7033579026E-02   6.7601629526E-02  4.94E-01  1.33E-11  5.47E-17  2.73E-11  4.74E-06  8.65E-01  8.66E+09  
     880   7.7396898554E-02   6.7947774351E-02  4.96E-01  1.33E-11  8.79E-19  2.72E-11  7.63E-08  8.65E-01  8.66E+09  
     890   7.8544805511E-02   6.8843342362E-02  4.98E-01  1.33E-11  8.27E-18  2.70E-11  7.20E-07  8.65E-01  8.66E+09  
     900   8.0785369686E-02   7.0566307104E-02  5.02E-01  1.32E-11  4.67E-18  2.66E-11  4.10E-07  8.65E-01  8.66E+09  
     909   8.2519435123E-02   7.1880082304E-02  5.05E-01  1.31E-11  4.03E-17  2.63E-11  3.55E-06  8.65E-01  9.52E+09  

     910   8.2639361078E-02   7.1968259247E-02  5.05E-01  1.31E-11  1.67E-18  2.63E-11  1.47E-07  8.65E-01  8.66E+09  
     911   8.2644633808E-02   7.1972116530E-02  5.05E-01  1.31E-11  6.31E-14  2.63E-11  5.57E-03  8.65E-01  9.52E+09  
     912   8.2799745983E-02   7.2085589353E-02  5.05E-01  1.31E-11  3.30E-19  2.63E-11  2.91E-08  8.65E-01  8.66E+09  
     913   8.2895925943E-02   7.2155418498E-02  5.06E-01  1.31E-11  1.53E-15  2.62E-11  1.35E-04  8.65E-01  9.52E+09  
     914   8.2895929004E-02   7.2155420719E-02  5.06E-01  1.31E-11  7.59E-18  2.62E-11  6.70E-07  8.65E-01  8.66E+09  
     915   8.2911173457E-02   7.2165988683E-02  5.06E-01  1.31E-11  1.25E-18  2.62E-11  1.11E-07  8.65E-01  9.52E+09  
     916   8.2911190354E-02   7.2165999051E-02  5.06E-01  1.31E-11  3.42E-15  2.62E-11  3.02E-04  8.65E-01  8.66E+09  
     917   8.2913720509E-02   7.2167551438E-02  5.06E-01  1.31E-11  1.51E-19  2.62E-11  1.33E-08  8.65E-01  9.52E+09  
     918   8.2923316242E-02   7.2172924574E-02  5.06E-01  1.31E-11  5.55E-16  2.62E-11  4.90E-05  8.65E-01  8.66E+09  
     919   8.2923316724E-02   7.2172924843E-02  5.06E-01  1.31E-11  8.12E-18  2.62E-11  7.17E-07  8.65E-01  9.52E+09  

     920   8.2936070077E-02   7.2179314062E-02  5.06E-01  1.31E-11  3.71E-11  2.62E-11  3.28E+00  8.65E-01  8.66E+09  

 Exit  MINRES-QLP.       istop =  8              itn    =     920
 Exit  MINRES-QLP.       Anorm =  8.6533E-01     Acond  =  8.6555E+09
 Exit  MINRES-QLP.       rnorm =  1.3087E-11     Arnorm =  3.7104E-11
 Exit  MINRES-QLP.       xnorm =  5.0556E-01
 Exit  MINRES-QLP.       The iteration limit was reached.                                 
