

 Enter MINRES-QLP.      Solution of Hermitian   Ax = b
 n        =     35      checkA   =   T          precon   =   F
 itnlim   =    140      rtol     =   2.22E-16   shift    =   0.00000000000000E+00
 maxxnorm =   1.00E+07  Acondlim =   1.00E+15   trancond =   1.00E+07


    iter         x(1)                           xnorm     rnorm     Arnorm   Compatible   LS      norm(A)   cond(A)
      69  -1.2037889681E-02   2.3491223717E-03  2.01E-01  8.56E-08  2.23E-09  4.68E-08  2.97E-03  8.80E+00  5.66E+03  

      70  -1.2037813758E-02   2.3489796901E-03  2.01E-01  8.50E-08  1.08E-08  4.64E-08  1.45E-02  8.80E+00  4.47E+03  
      71  -1.2037797236E-02   2.3489483371E-03  2.01E-01  8.48E-08  2.97E-08  4.63E-08  3.98E-02  8.80E+00  5.66E+03  
      72  -1.2037290866E-02   2.3479929536E-03  2.01E-01  8.12E-08  2.81E-09  4.43E-08  3.93E-03  8.80E+00  4.47E+03  
      73  -1.2037224105E-02   2.3478486646E-03  2.01E-01  8.08E-08  3.18E-08  4.41E-08  4.48E-02  8.80E+00  5.66E+03  
      74  -1.2032922176E-02   2.3385174302E-03  2.01E-01  4.57E-08  3.78E-09  2.50E-08  9.38E-03  8.80E+00  8.10E+03  
      75  -1.2032512147E-02   2.3376202006E-03  2.01E-01  4.08E-08  1.07E-08  2.23E-08  2.98E-02  8.80E+00  5.66E+03  
      76  -1.2032247504E-02   2.3370389181E-03  2.01E-01  3.72E-08  1.05E-08  2.03E-08  3.23E-02  8.80E+00  8.10E+03  
      77  -1.2031627161E-02   2.3356777511E-03  2.01E-01  2.68E-08  2.90E-08  1.47E-08  1.23E-01  8.80E+00  5.66E+03  
      78  -1.2031374618E-02   2.3351232892E-03  2.01E-01  2.12E-08  1.17E-09  1.16E-08  6.26E-03  8.80E+00  8.10E+03  
      79  -1.2031376642E-02   2.3351243053E-03  2.01E-01  2.12E-08  3.59E-09  1.16E-08  1.92E-02  8.80E+00  5.66E+03  

      80  -1.2031433631E-02   2.3351607650E-03  2.01E-01  2.08E-08  3.20E-08  1.14E-08  1.75E-01  8.80E+00  8.10E+03  
      81  -1.2031808174E-02   2.3354011826E-03  2.01E-01  1.80E-08  1.47E-09  9.84E-09  9.28E-03  8.80E+00  5.66E+03  
      82  -1.2031832801E-02   2.3354189941E-03  2.01E-01  1.79E-08  1.14E-09  9.75E-09  7.23E-03  8.80E+00  8.10E+03  
      83  -1.2031997486E-02   2.3355529758E-03  2.01E-01  1.68E-08  1.06E-08  9.18E-09  7.15E-02  8.80E+00  5.66E+03  
      84  -1.2032910285E-02   2.3362987531E-03  2.01E-01  9.15E-09  6.77E-09  5.00E-09  8.42E-02  8.80E+00  8.10E+03  
      85  -1.2033211410E-02   2.3365432352E-03  2.01E-01  4.29E-09  2.52E-09  2.34E-09  6.68E-02  8.80E+00  5.66E+03  
      86  -1.2033218098E-02   2.3365489402E-03  2.01E-01  4.12E-09  2.42E-09  2.25E-09  6.69E-02  8.80E+00  8.10E+03  
      87  -1.2033241369E-02   2.3365697614E-03  2.01E-01  3.47E-09  8.92E-11  1.89E-09  2.92E-03  8.80E+00  5.66E+03  
      88  -1.2033242436E-02   2.3365717771E-03  2.01E-01  3.45E-09  4.52E-10  1.89E-09  1.49E-02  8.80E+00  8.10E+03  
      89  -1.2033281143E-02   2.3366459111E-03  2.01E-01  2.91E-09  1.31E-08  1.59E-09  5.12E-01  8.80E+00  5.66E+03  

      90  -1.2033351298E-02   2.3367800954E-03  2.01E-01  1.49E-09  4.05E-11  8.12E-10  3.09E-03  8.80E+00  8.10E+03  
      91  -1.2033357035E-02   2.3367858668E-03  2.01E-01  1.40E-09  1.09E-09  7.67E-10  8.86E-02  8.80E+00  5.66E+03  
      92  -1.2033360496E-02   2.3367892756E-03  2.01E-01  1.35E-09  6.06E-10  7.39E-10  5.09E-02  8.80E+00  8.10E+03  
      93  -1.2033398272E-02   2.3368257732E-03  2.01E-01  5.84E-10  6.16E-11  3.19E-10  1.20E-02  8.80E+00  5.66E+03  
      94  -1.2033398374E-02   2.3368257824E-03  2.01E-01  5.82E-10  4.44E-11  3.18E-10  8.66E-03  8.80E+00  8.10E+03  
      95  -1.2033399025E-02   2.3368255420E-03  2.01E-01  5.75E-10  2.72E-11  3.14E-10  5.38E-03  8.80E+00  5.66E+03  
      96  -1.2033400637E-02   2.3368245703E-03  2.01E-01  5.61E-10  3.10E-11  3.06E-10  6.29E-03  8.80E+00  8.10E+03  
      97  -1.2033404888E-02   2.3368218749E-03  2.01E-01  5.28E-10  5.59E-10  2.88E-10  1.20E-01  8.80E+00  5.66E+03  
      98  -1.2033410618E-02   2.3368182375E-03  2.01E-01  4.81E-10  9.36E-10  2.62E-10  2.21E-01  8.80E+00  8.10E+03  
      99  -1.2033417613E-02   2.3368138058E-03  2.01E-01  4.16E-10  9.16E-10  2.27E-10  2.50E-01  8.80E+00  5.66E+03  

     100  -1.2033437131E-02   2.3368014417E-03  2.01E-01  1.06E-10  1.40E-11  5.78E-11  1.51E-02  8.80E+00  8.10E+03  
     101  -1.2033437887E-02   2.3368009056E-03  2.01E-01  6.35E-11  3.80E-11  3.47E-11  6.80E-02  8.80E+00  5.66E+03  
     102  -1.2033437925E-02   2.3368008848E-03  2.01E-01  6.05E-11  1.08E-12  3.30E-11  2.04E-03  8.80E+00  8.10E+03  
