

 Enter MINRES-QLP.      Solution of symmetric   Ax = b
 n        =    240      ||b||    =   1.11E+00   precon   =   F
 itnlim   =    960      rtol     =   2.22E-16   shift    =   0.00000000000000E+00
 maxxnorm =   1.00E+07  Acondlim =   1.00E+15   trancond =   1.00E+07


    iter   x(1)              xnorm     rnorm     Arnorm   Compatible   LS      norm(A)   cond(A)
     510  -4.0462315041E-02  2.02E+00  7.67E-06  1.64E-06  2.35E-07  1.37E-02  1.57E+01  2.97E+05  
     520  -4.0749488006E-02  2.06E+00  7.34E-06  2.01E-07  2.20E-07  1.75E-03  1.57E+01  2.97E+05  
     530  -4.0912202108E-02  2.08E+00  7.20E-06  9.25E-07  2.14E-07  8.21E-03  1.57E+01  2.97E+05  
     540  -4.1244052112E-02  2.11E+00  6.91E-06  1.23E-06  2.02E-07  1.14E-02  1.57E+01  2.97E+05  
     550  -4.1531944322E-02  2.15E+00  6.67E-06  8.04E-07  1.92E-07  7.70E-03  1.57E+01  2.97E+05  
     560  -4.1947462630E-02  2.19E+00  6.33E-06  7.13E-07  1.78E-07  7.20E-03  1.57E+01  3.25E+05  
     570  -4.2291806720E-02  2.23E+00  6.03E-06  1.88E-07  1.67E-07  1.99E-03  1.57E+01  3.25E+05  
     580  -4.2966214734E-02  2.32E+00  5.41E-06  6.05E-07  1.45E-07  7.15E-03  1.57E+01  3.75E+05  
     590  -4.3075056972E-02  2.33E+00  5.30E-06  4.37E-06  1.41E-07  5.27E-02  1.57E+01  3.75E+05  
     600  -4.3235134642E-02  2.35E+00  5.17E-06  1.04E-06  1.36E-07  1.29E-02  1.57E+01  3.75E+05  
     610  -4.3503977112E-02  2.38E+00  4.94E-06  2.38E-07  1.29E-07  3.08E-03  1.57E+01  3.75E+05  
     620  -4.3587310371E-02  2.39E+00  4.86E-06  3.08E-07  1.26E-07  4.04E-03  1.57E+01  3.75E+05  
     630  -4.4159471285E-02  2.47E+00  4.32E-06  3.56E-07  1.09E-07  5.27E-03  1.57E+01  4.72E+05  
     640  -4.4266637428E-02  2.48E+00  4.20E-06  7.20E-08  1.05E-07  1.09E-03  1.57E+01  4.72E+05  
     650  -4.4625635970E-02  2.53E+00  3.81E-06  9.47E-07  9.36E-08  1.59E-02  1.57E+01  4.72E+05  
     660  -4.4738418604E-02  2.55E+00  3.71E-06  2.70E-07  9.05E-08  4.65E-03  1.57E+01  4.72E+05  
     670  -4.5214104331E-02  2.59E+00  3.37E-06  7.22E-07  8.11E-08  1.37E-02  1.57E+01  4.72E+05  
     680  -4.5308004857E-02  2.60E+00  3.30E-06  9.01E-07  7.89E-08  1.75E-02  1.57E+01  4.72E+05  
     690  -4.5385635984E-02  2.60E+00  3.22E-06  2.42E-07  7.70E-08  4.79E-03  1.57E+01  4.72E+05  
     700  -4.5535038052E-02  2.63E+00  3.05E-06  1.28E-07  7.23E-08  2.68E-03  1.57E+01  4.72E+05  
     710  -4.5578696705E-02  2.63E+00  3.01E-06  4.41E-07  7.11E-08  9.36E-03  1.57E+01  4.72E+05  
     720  -4.5625872525E-02  2.64E+00  2.97E-06  4.63E-08  7.00E-08  9.96E-04  1.57E+01  4.72E+05  
     730  -4.5749042158E-02  2.65E+00  2.85E-06  2.04E-07  6.70E-08  4.57E-03  1.57E+01  4.72E+05  
     740  -4.5798510433E-02  2.66E+00  2.81E-06  1.21E-07  6.60E-08  2.75E-03  1.57E+01  4.72E+05  
     750  -4.5855522337E-02  2.66E+00  2.78E-06  4.03E-07  6.49E-08  9.27E-03  1.57E+01  4.72E+05  
     760  -4.5957624247E-02  2.67E+00  2.72E-06  2.12E-07  6.33E-08  4.99E-03  1.57E+01  4.72E+05  
     770  -4.6111089436E-02  2.68E+00  2.63E-06  4.08E-07  6.10E-08  9.92E-03  1.57E+01  4.72E+05  
     780  -4.6209652961E-02  2.69E+00  2.58E-06  3.29E-07  5.97E-08  8.15E-03  1.57E+01  4.72E+05  
     790  -4.6260299478E-02  2.69E+00  2.56E-06  1.31E-07  5.91E-08  3.27E-03  1.57E+01  4.72E+05  
     800  -4.6400101374E-02  2.70E+00  2.51E-06  6.22E-07  5.79E-08  1.58E-02  1.57E+01  4.72E+05  
     810  -4.6549330219E-02  2.71E+00  2.46E-06  1.57E-07  5.67E-08  4.07E-03  1.57E+01  4.72E+05  
     820  -4.7035098730E-02  2.73E+00  2.30E-06  1.32E-07  5.24E-08  3.67E-03  1.57E+01  4.72E+05  
     830  -4.7315772688E-02  2.75E+00  2.20E-06  1.69E-07  4.97E-08  4.92E-03  1.57E+01  6.59E+05  
     840  -4.7381569743E-02  2.75E+00  2.17E-06  1.56E-07  4.91E-08  4.58E-03  1.57E+01  6.59E+05  
     850  -4.7454801728E-02  2.76E+00  2.15E-06  1.04E-08  4.85E-08  3.08E-04  1.57E+01  6.59E+05  
     860  -4.7649628092E-02  2.77E+00  2.10E-06  9.07E-07  4.72E-08  2.76E-02  1.57E+01  6.59E+05  
     870  -4.7919967915E-02  2.78E+00  2.02E-06  1.30E-08  4.53E-08  4.09E-04  1.57E+01  6.59E+05  
     880  -4.7983226276E-02  2.78E+00  2.01E-06  2.89E-07  4.49E-08  9.20E-03  1.57E+01  6.59E+05  
     890  -4.8094250378E-02  2.79E+00  1.98E-06  7.34E-07  4.42E-08  2.37E-02  1.57E+01  6.59E+05  
     900  -4.9346071511E-02  2.86E+00  1.60E-06  8.99E-08  3.48E-08  3.59E-03  1.57E+01  1.39E+06  
     910  -4.9796664226E-02  2.89E+00  1.44E-06  2.91E-07  3.10E-08  1.29E-02  1.57E+01  1.39E+06  
     920  -4.9945184618E-02  2.90E+00  1.38E-06  1.54E-07  2.97E-08  7.12E-03  1.57E+01  1.39E+06  
     930  -5.0128872168E-02  2.91E+00  1.31E-06  2.06E-07  2.81E-08  1.00E-02  1.57E+01  1.39E+06  
     940  -5.0450340420E-02  2.93E+00  1.18E-06  5.98E-07  2.51E-08  3.24E-02  1.57E+01  1.39E+06  
