

 Enter MINRES-QLP.      Solution of Hermitian   Ax = b
 n        =    230      checkA   =   T          precon   =   F
 itnlim   =    920      rtol     =   2.22E-16   shift    =   0.00000000000000E+00
 maxxnorm =   1.00E+07  Acondlim =   1.00E+15   trancond =   1.00E+07


    iter         x(1)                           xnorm     rnorm     Arnorm   Compatible   LS      norm(A)   cond(A)
     460   1.2332892902E-01  -3.7687666969E-01  4.85E+00  3.47E-04  7.10E-03  7.67E-08  2.19E-02  9.33E+02  2.62E+05  
     470   1.2141029051E-01  -3.8163409585E-01  4.88E+00  3.30E-04  5.46E-03  7.24E-08  1.77E-02  9.33E+02  2.62E+05  
     480   1.1889845313E-01  -3.8825642666E-01  4.91E+00  3.06E-04  1.76E-03  6.69E-08  6.17E-03  9.33E+02  2.62E+05  
     490   1.1679084468E-01  -3.9390099580E-01  4.93E+00  2.87E-04  4.24E-03  6.23E-08  1.58E-02  9.33E+02  2.63E+05  
     500   1.1468521695E-01  -3.9955970535E-01  4.96E+00  2.68E-04  1.93E-03  5.80E-08  7.73E-03  9.33E+02  2.63E+05  
     510   1.1279582657E-01  -4.0465250640E-01  4.98E+00  2.52E-04  2.52E-03  5.43E-08  1.07E-02  9.33E+02  2.63E+05  
     520   1.1071261960E-01  -4.1029454312E-01  5.00E+00  2.35E-04  2.48E-04  5.04E-08  1.13E-03  9.33E+02  2.63E+05  
     530   1.0876025656E-01  -4.1567817113E-01  5.02E+00  2.20E-04  2.80E-04  4.70E-08  1.36E-03  9.33E+02  3.84E+05  
     540   1.0672057472E-01  -4.2129099332E-01  5.04E+00  2.05E-04  1.49E-03  4.35E-08  7.81E-03  9.33E+02  3.84E+05  
     550   1.0493349886E-01  -4.2604894848E-01  5.05E+00  1.92E-04  6.68E-04  4.07E-08  3.73E-03  9.33E+02  3.84E+05  
     560   1.0238242170E-01  -4.3257836998E-01  5.07E+00  1.74E-04  4.96E-05  3.68E-08  3.05E-04  9.33E+02  3.84E+05  
     570   1.0056031862E-01  -4.3699136233E-01  5.09E+00  1.62E-04  2.25E-04  3.40E-08  1.49E-03  9.33E+02  3.84E+05  
     580   9.9473486243E-02  -4.3949403447E-01  5.09E+00  1.54E-04  2.11E-03  3.24E-08  1.47E-02  9.33E+02  3.84E+05  
     590   9.8116878419E-02  -4.4244043406E-01  5.10E+00  1.45E-04  6.15E-04  3.05E-08  4.54E-03  9.33E+02  3.84E+05  
     600   9.6620171455E-02  -4.4543785854E-01  5.11E+00  1.36E-04  8.05E-04  2.84E-08  6.36E-03  9.33E+02  3.84E+05  
     610   9.5104619555E-02  -4.4811248349E-01  5.12E+00  1.26E-04  4.20E-05  2.64E-08  3.56E-04  9.33E+02  3.84E+05  
     620   9.3235714619E-02  -4.5092418624E-01  5.14E+00  1.16E-04  6.67E-04  2.42E-08  6.17E-03  9.33E+02  3.84E+05  
     630   9.1880301785E-02  -4.5260436814E-01  5.14E+00  1.09E-04  9.17E-05  2.26E-08  9.06E-04  9.33E+02  3.84E+05  
     640   9.1210356534E-02  -4.5327305821E-01  5.15E+00  1.05E-04  2.96E-04  2.19E-08  3.01E-03  9.33E+02  3.84E+05  
     650   9.0062341536E-02  -4.5425961128E-01  5.15E+00  9.98E-05  4.19E-04  2.08E-08  4.50E-03  9.33E+02  3.84E+05  
     660   8.7922079754E-02  -4.5554785346E-01  5.16E+00  9.07E-05  1.87E-04  1.88E-08  2.21E-03  9.33E+02  3.84E+05  
     670   8.6533499209E-02  -4.5604888443E-01  5.16E+00  8.55E-05  9.67E-05  1.77E-08  1.21E-03  9.33E+02  3.84E+05  
     680   8.4989929742E-02  -4.5635094740E-01  5.17E+00  8.04E-05  4.43E-05  1.67E-08  5.90E-04  9.33E+02  3.84E+05  
     690   8.4021578527E-02  -4.5644722774E-01  5.17E+00  7.75E-05  5.09E-04  1.60E-08  7.04E-03  9.33E+02  3.84E+05  
     700   8.1982162423E-02  -4.5654127129E-01  5.18E+00  7.16E-05  1.15E-04  1.48E-08  1.73E-03  9.33E+02  3.84E+05  
     710   7.9620321886E-02  -4.5647763180E-01  5.18E+00  6.50E-05  2.52E-04  1.34E-08  4.15E-03  9.33E+02  3.84E+05  
     720   7.8067985244E-02  -4.5635448399E-01  5.19E+00  6.09E-05  7.64E-04  1.26E-08  1.34E-02  9.33E+02  3.84E+05  
     730   7.7008980737E-02  -4.5624715101E-01  5.19E+00  5.81E-05  7.05E-05  1.20E-08  1.30E-03  9.33E+02  3.84E+05  
     740   7.5283864660E-02  -4.5601932060E-01  5.19E+00  5.38E-05  5.58E-04  1.11E-08  1.11E-02  9.33E+02  3.84E+05  
