 MAKING EXP, SIN, COS, DB DONE...
   87 Egs =    -4.15757   -0.00053    0.67206    1.14283    0.05000CPU TIME=  47.96265
   88 Egs =    -4.18557    0.00046    0.59537    3.44196    0.05000CPU TIME=  49.96558
   89 Egs =    -4.22013    0.00105    0.43406    2.02605    0.05000CPU TIME=  49.83008
   90 Egs =    -4.24571   -0.00045    0.31945    1.33391    0.05000CPU TIME=  49.90967
   91 Egs =    -4.26422   -0.00101    0.31179    1.01001    0.05000CPU TIME=  49.95923
   92 Egs =    -4.28425   -0.00052    0.24011    0.87498    0.05000CPU TIME=  50.04932
   93 Egs =    -4.27861    0.00043    0.49909    8.12568    0.05000CPU TIME=  50.13696
   94 Egs =    -4.30848    0.00109    0.28364    2.70448    0.05000CPU TIME=  50.25000
   95 Egs =    -4.32654    0.00100    0.22244    1.61997    0.05000CPU TIME=  50.18018
   96 Egs =    -4.34172    0.00038    0.20782    0.85101    0.05000CPU TIME=  50.19824
   97 Egs =    -4.35326    0.00015    0.17522    0.52792    0.05000CPU TIME=  50.19385
   98 Egs =    -4.32990   -0.00061    0.48176   12.85679    0.05000CPU TIME=  50.22217
   99 Egs =    -4.36606   -0.00086    0.25019    4.30588    0.05000CPU TIME=  50.28198
  100 Egs =    -4.38111   -0.00022    0.16772    2.03872    0.05000CPU TIME=  50.38647
  101 Egs =    -4.39518   -0.00042    0.14651    0.50250    0.05000CPU TIME=  50.28809
  102 Egs =    -4.40676   -0.00009    0.13326    0.30583    0.05000CPU TIME=  50.31226
  103 Egs =    -4.41658   -0.00105    0.10621    0.24417    0.05000CPU TIME=  50.26758
  104 Egs =    -4.26571    0.00018    1.47794   67.00868    0.05000CPU TIME=  50.18896
  105 Egs =    -4.37543   -0.00034    0.56797   19.39038    0.05000CPU TIME=  50.14331
  106 Egs =    -4.41688    0.00013    0.24799    6.95523    0.05000CPU TIME=  50.19019
  107 Egs =    -4.43661   -0.00016    0.12326    1.77511    0.05000CPU TIME=  50.19995
  108 Egs =    -4.44630    0.00008    0.07737    0.58404    0.05000CPU TIME=  50.16479
  109 Egs =    -4.45310   -0.00015    0.06098    0.14315    0.05000CPU TIME=  50.15356
  110 Egs =    -4.45757    0.00033    0.05076    0.09252    0.05000CPU TIME=  50.19385
  111 Egs =    -4.40804   -0.00035    0.51334   23.49366    0.05000CPU TIME=  50.30371
  112 Egs =    -4.44900    0.00041    0.18494    6.99024    0.05000CPU TIME=  50.18701
  113 Egs =    -4.46345    0.00015    0.07772    1.80022    0.05000CPU TIME=  50.22656
  114 Egs =    -4.47001   -0.00009    0.04293    0.63386    0.05000CPU TIME=  50.23120
  115 Egs =    -4.47352    0.00007    0.02985    0.04730    0.05000CPU TIME=  50.29517
  116 Egs =    -4.41432   -0.00001    0.58234   46.09104    0.05000CPU TIME=  50.23950
  117 Egs =    -4.45857   -0.00007    0.19387   13.67251    0.05000CPU TIME=  50.23340
  118 Egs =    -4.47399   -0.00017    0.07529    5.09942    0.05000CPU TIME=  50.24951
  119 Egs =    -4.48245    0.00017    0.02238    0.09437    0.05000CPU TIME=  50.23145
  120 Egs =    -4.48378   -0.00015    0.01772    0.02627    0.05000CPU TIME=  50.07422
  121 Egs =    -4.42815    0.00019    0.52183   65.86060    0.05000CPU TIME=  50.30127
  122 Egs =    -4.47057    0.00003    0.16503   18.75785    0.05000CPU TIME=  50.15820
  123 Egs =    -4.48422    0.00005    0.05000    3.81684    0.05000CPU TIME=  50.27979
  124 Egs =    -4.48882    0.00007    0.01306    0.04417    0.05000CPU TIME=  50.19727
  125 Egs =    -4.49066    0.00015    0.01096    0.01330    0.05000CPU TIME=  50.20557
  126 Egs =    -4.37483    0.00022    1.05023  151.99535    0.05000CPU TIME=  50.19922
  127 Egs =    -4.45775    0.00006    0.31878   43.11779    0.05000CPU TIME=  50.25635
  128 Egs =    -4.48265    0.00001    0.09868   12.95442    0.05000CPU TIME=  50.28076
  129 Egs =    -4.49172    0.00009    0.02829    2.59757    0.05000CPU TIME=  50.30029
  130 Egs =    -4.49452    0.00000    0.00593    0.00757    0.05000CPU TIME=  50.33057
  131 Egs =    -4.46771    0.00003    0.25050   41.93211    0.05000CPU TIME=  50.38818
  132 Egs =    -4.48963   -0.00001    0.05353    5.24808    0.05000CPU TIME=  50.43848
  133 Egs =    -4.49455    0.00007    0.01403    0.75858    0.05000CPU TIME=  50.43652
  134 Egs =    -4.49590    0.00001    0.00454    0.00493    0.05000CPU TIME=  50.33154
  135 Egs =    -4.48768    0.00012    0.08448   12.48609    0.05000CPU TIME=  50.18311
  136 Egs =    -4.49512    0.00008    0.01773    1.41572    0.05000CPU TIME=  50.07275
  137 Egs =    -4.49734    0.00003    0.00302    0.00340    0.05000CPU TIME=  50.14844
  138 Egs =    -4.48910    0.00004    0.08108   12.05279    0.05000CPU TIME=  50.09082
  139 Egs =    -4.49660    0.00009    0.01532    1.10952    0.05000CPU TIME=  50.19092
  140 Egs =    -4.49797    0.00011    0.00209    0.00243    0.05000CPU TIME=  50.21582
  141 Egs =    -4.48981    0.00007    0.07481   12.55184    0.05000CPU TIME=  50.21875
  142 Egs =    -4.49733    0.00007    0.01225    0.92999    0.05000CPU TIME=  50.24219
  143 Egs =    -4.49846    0.00009    0.00260    0.00174    0.05000CPU TIME=  50.19287
  144 Egs =    -4.46390    0.00003    0.31141   63.96765    0.05000CPU TIME=  50.19141
  145 Egs =    -4.49006   -0.00001    0.07843   12.62438    0.05000CPU TIME=  50.27637
  146 Egs =    -4.49778    0.00002    0.01089    0.69738    0.05000CPU TIME=  50.26367
  147 Egs =    -4.49896    0.00007    0.00121    0.00114    0.05000CPU TIME=  50.22754
  148 Egs =    -4.48911    0.00000    0.09070   15.86773    0.05000CPU TIME=  50.19775
  149 Egs =    -4.49801    0.00002    0.01247    0.87422    0.05000CPU TIME=  50.18311
  150 Egs =    -4.49933   -0.00003    0.00075    0.00082    0.05000CPU TIME=  50.08398
  151 Egs =    -4.49924    0.00002    0.00069    0.00074    0.05000CPU TIME=  50.01123
  152 Egs =    -4.49473    0.00005    0.04274    7.69257    0.05000CPU TIME=  50.10107
  153 Egs =    -4.49946    0.00005    0.00055    0.00058    0.05000CPU TIME=  50.13574
  154 Egs =    -4.49667    0.00004    0.02480    3.16171    0.05000CPU TIME=  50.14453
  155 Egs =    -4.49951    0.00006    0.00064    0.00046    0.05000CPU TIME=  50.18994
  156 Egs =    -4.48073    0.00001    0.16854   35.49248    0.05000CPU TIME=  50.18555
  157 Egs =    -4.49449    0.00004    0.04570    8.38681    0.05000CPU TIME=  50.15576
  158 Egs =    -4.49951    0.00002    0.00034    0.00034    0.05000CPU TIME=  50.18262
  159 Egs =    -4.49059    0.00004    0.08123   15.63901    0.05000CPU TIME=  50.19482
  160 Egs =    -4.49848    0.00005    0.01166    1.01625    0.05000CPU TIME=  50.18506
  161 Egs =    -4.49972    0.00005    0.00028    0.00025    0.05000CPU TIME=  50.17676
  162 Egs =    -4.48500    0.00007    0.13294   31.03254    0.05000CPU TIME=  50.12988
  163 Egs =    -4.49712    0.00005    0.02371    3.45091    0.05000CPU TIME=  50.15234
  164 Egs =    -4.49992    0.00007    0.00019    0.00017    0.05000CPU TIME=  50.23486
  165 Egs =    -4.49837    0.00004    0.01239    1.28385    0.05000CPU TIME=  50.21045
  166 Egs =    -4.49976    0.00005    0.00017    0.00015    0.05000CPU TIME=  50.04834
  167 Egs =    -4.49978    0.00004    0.00014    0.00014    0.05000CPU TIME=  50.05371
  168 Egs =    -4.49898    0.00004    0.00741    0.52863    0.05000CPU TIME=  50.01758
  169 Egs =    -4.49980    0.00002    0.00014    0.00011    0.05000CPU TIME=  50.05420
  170 Egs =    -4.49952    0.00005    0.00334    0.08875    0.05000CPU TIME=  50.06982
  171 Egs =    -4.49988    0.00008    0.00023    0.00009    0.05000CPU TIME=  50.10205
  172 Egs =    -4.49238    0.00004    0.06728   14.46258    0.05000CPU TIME=  50.04004
  173 Egs =    -4.49958    0.00005    0.00252    0.06346    0.05000CPU TIME=  50.18555
  174 Egs =    -4.49985    0.00004    0.00008    0.00006    0.05000CPU TIME=  50.19531
  175 Egs =    -4.49516    0.00004    0.04218    9.18613    0.05000CPU TIME=  50.22900
  176 Egs =    -4.49992    0.00002    0.00012    0.00005    0.05000CPU TIME=  50.18018
  177 Egs =    -4.47862    0.00006    0.19161   44.71973    0.05000CPU TIME=  50.22803
  178 Egs =    -4.49397    0.00003    0.05349   11.56932    0.05000CPU TIME=  50.19873
  179 Egs =    -4.49989    0.00003    0.00007    0.00004    0.05000CPU TIME=  50.22852
  180 Egs =    -4.49992    0.00005    0.00005    0.00003    0.05000CPU TIME=  50.26318
  181 Egs =    -4.49707    0.00004    0.02595    4.04259    0.05000CPU TIME=  50.02881
  182 Egs =    -4.49993    0.00004    0.00003    0.00003    0.05000CPU TIME=  49.98779
  183 Egs =    -4.49991    0.00003    0.00003    0.00003    0.05000CPU TIME=  49.97852
  184 Egs =    -4.49994    0.00003    0.00003    0.00002    0.05000CPU TIME=  50.02979
  185 Egs =    -4.49991    0.00004    0.00006    0.00002    0.05000CPU TIME=  49.99805
  186 Egs =    -4.49770    0.00004    0.02027    2.78092    0.05000CPU TIME=  50.09082
  187 Egs =    -4.49994    0.00005    0.00004    0.00002    0.05000CPU TIME=  50.11035
  188 Egs =    -4.47779    0.00007    0.19881   53.06683    0.05000CPU TIME=  50.12305
  189 Egs =    -4.49489    0.00003    0.04535    9.08562    0.05000CPU TIME=  50.09766
  190 Egs =    -4.49995    0.00001    0.00010    0.00001    0.05000CPU TIME=  50.18506
  191 Egs =    -4.49923    0.00004    0.00650    0.42293    0.05000CPU TIME=  50.22119
  192 Egs =    -4.49996    0.00005    0.00018    0.00001    0.05000CPU TIME=  50.23730
  193 Egs =    -4.47951    0.00004    0.18347   40.08473    0.05000CPU TIME=  50.25781
  194 Egs =    -4.49498    0.00003    0.04455    7.80951    0.05000CPU TIME=  50.25244
  195 Egs =    -4.49993    0.00003    0.00006    0.00001    0.05000CPU TIME=  50.09863
  196 Egs =    -4.49995    0.00005    0.00002    0.00001    0.05000CPU TIME=  50.08643
  197 Egs =    -4.49995    0.00004    0.00001    0.00001    0.05000CPU TIME=  50.03809
  198 Egs =    -4.49995    0.00004    0.00003    0.00001    0.05000CPU TIME=  49.96826
  199 Egs =    -4.49994    0.00004    0.00003    0.00000    0.05000CPU TIME=  50.01416
  200 Egs =    -4.49636    0.00003    0.03240    4.62641    0.05000CPU TIME=  50.01660
  201 Egs =    -4.49996    0.00004    0.00001    0.00000    0.05000CPU TIME=  50.05957
  202 Egs =    -4.49770    0.00005    0.02025    3.03048    0.05000CPU TIME=  50.06152
  203 Egs =    -4.49993    0.00003    0.00006    0.00000    0.05000CPU TIME=  50.14648
  204 Egs =    -4.49077    0.00004    0.08254   19.24324    0.05000CPU TIME=  50.20020
  205 Egs =    -4.49887    0.00003    0.00976    0.86095    0.05000CPU TIME=  50.16602
  206 Egs =    -4.49996    0.00004    0.00001    0.00000    0.05000CPU TIME=  50.08496
